Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2015-2016,16,Milan,it ITA,1. Serie A,7th,30,30,"2,628",29.2,29,0.99,107,78,72.9,12,9,7,10,33.3,,,,,,0,,,,,,,,,,,,,,
2016-2017,17,Milan,it ITA,1. Serie A,6th,38,38,"3,420",38,45,1.18,189,144,78.8,18,9,11,12,31.6,10,5,2,3,28.6,0,,,,,,,,,,,,,,
2017-2018,18,Milan,it ITA,1. Serie A,6th,38,38,"3,420",38,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0,0,984,1238,79.5,26149,18283,188,189,99.5,463,468,98.9,328,572,57.3
2018-2019,19,Milan,it ITA,1. Serie A,5th,36,36,"3,092",34.4,31,0.9,126,95,77.8,18,11,7,11,30.6,4,3,1,0,25,0,977,1173,83.3,25291,18286,167,168,99.4,524,534,98.1,281,466,60.3
2019-2020,20,Milan,it ITA,1. Serie A,6th,36,36,"3,201",35.6,42,1.18,141,96,73,18,9,9,12,33.3,8,4,4,0,50,0,880,1139,77.3,23874,17594,166,167,99.4,419,426,98.4,291,540,53.9
2020-2021,21,Milan,it ITA,1. Serie A,2nd,37,37,"3,330",37,38,1.03,126,88,71.4,24,6,7,14,37.8,4,2,1,1,33.3,1,979,1232,79.5,23908,17284,266,266,100,445,451,98.7,264,506,52.2
2021-2022,22,Paris S-G,fr FRA,1. Ligue 1,1st,17,17,"1,530",17,17,1,61,45,73.8,13,2,2,5,29.4,1,1,0,0,0,1,424,469,90.4,8442,5460,152,154,98.7,200,206,97.1,70,106,66
2022-2023,23,Paris S-G,fr FRA,1. Ligue 1,1st,38,38,"3,409",37.9,40,1.06,160,120,76.3,27,4,7,13,34.2,5,2,1,2,33.3,1,811,935,86.7,16498,10725,259,260,99.6,413,420,98.3,126,241,52.3
2023-2024,24,Paris S-G,fr FRA,1. Ligue 1,1st,15,15,"1,269",14.1,12,0.85,51,39,80.4,11,3,1,6,40,2,2,0,0,0,0,409,455,89.9,8535,4664,110,111,99.1,229,234,97.9,67,106,63.2
