Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
2015-2016,20,Lille,fr FRA,1. Ligue 1,5th,4,3,289,3.2,3,0.93,13,10,76.9,1,0,2,1,33.3,,,,,,0,,,,,,,,,,,,,,
2016-2017,21,Lille,fr FRA,1. Ligue 1,11th,7,6,566,6.3,7,1.11,28,21,75,3,0,3,3,50,0,0,0,0,,0,,,,,,,,,,,,,,
2017-2018,22,Lille,fr FRA,1. Ligue 1,17th,34,34,"3,032",33.7,53,1.57,160,107,68.8,10,7,17,5,14.7,5,3,2,0,40,0,909,1155,78.7,24726,18430,132,133,99.2,498,503,99,272,510,53.3
2018-2019,23,Lille,fr FRA,1. Ligue 1,2nd,38,38,"3,420",38,33,0.87,125,90,78.4,22,9,7,15,39.5,10,6,2,2,25,2,716,1116,64.2,21901,17507,92,93,98.9,340,344,98.8,281,673,41.8
2019-2020,24,Lille,fr FRA,1. Ligue 1,4th,28,28,"2,520",28,27,0.96,83,58,72.3,15,4,9,12,42.9,6,4,1,1,20,1,493,765,64.4,15376,12804,71,73,97.3,215,216,99.5,205,471,43.5
2020-2021,25,Lille,fr FRA,1. Ligue 1,1st,38,38,"3,420",38,23,0.61,107,85,79.4,24,11,3,21,55.3,2,1,1,0,50,2,779,1071,72.7,20474,15076,167,168,99.4,376,378,99.5,225,507,44.4
2021-2022,26,Milan,it ITA,1. Serie A,1st,32,32,"2,880",32,21,0.66,101,81,81.2,22,7,3,17,53.1,2,2,0,0,0,2,913,1154,79.1,24884,17336,172,172,100,429,431,99.5,305,543,56.2
2022-2023,27,Milan,it ITA,1. Serie A,4th,22,22,"1,978",22,21,0.96,62,40,69.4,11,7,4,8,36.4,3,2,1,0,33.3,0,674,814,82.8,16900,10659,133,134,99.3,354,360,98.3,185,314,58.9
2023-2024,28,Milan,it ITA,1. Serie A,3rd,16,16,"1,439",16,18,1.13,64,46,75,10,3,3,6,37.5,2,2,0,0,0,0,614,732,83.9,15732,10700,132,132,100,303,306,99,175,282,62.1
