,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%.1,Awards,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp.1,Att.1,Cmp%.1,Cmp.2,Att.2,Cmp%.2,Cmp.3,Att.3,Cmp%.3
107,2012-2013,20,Cambridge Utd,eng ENG,5. Conf Premier,14th,9,9,810,9.0,7,0.78,41.0,34.0,82.9,3,4,2,4,44.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2012-2013,20,Charlton Ath,eng ENG,2. Championship,9th,1,0,20,0.2,0,0.0,1.0,1.0,100.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2013-2014,21,Aldershot Town,eng ENG,5. Conf Premier,19th,5,5,450,5.0,9,1.8,33.0,24.0,72.7,1,2,2,2,40.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2013-2014,21,York City,eng ENG,4. League Two,7th,22,22,"1,980",22.0,12,0.55,82.0,70.0,85.4,9,10,3,15,68.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2014-2015,22,Bury,eng ENG,4. League Two,3rd,22,22,"1,980",22.0,14,0.64,53.0,39.0,73.6,15,2,5,12,54.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2014-2015,22,Charlton Ath,eng ENG,2. Championship,12th,8,7,654,7.3,9,1.24,34.0,25.0,73.5,1,4,2,2,28.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2015-2016,23,Charlton Ath,eng ENG,2. Championship,22nd,24,24,"2,160",24.0,33,1.37,116.0,83.0,71.6,6,7,11,5,20.8,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2017-2018,25,Burnley,eng ENG,1. Premier League,7th,35,34,"3,115",34.6,35,1.01,148.0,113.0,78.4,12,11,11,12,35.3,5.0,3.0,1.0,1.0,25.0,0,546.0,1224.0,44.6,26090.0,23787.0,17.0,17.0,100.0,138.0,144.0,95.8,391.0,1055.0,37.1
115,2019-2020,27,Burnley,eng ENG,1. Premier League,10th,38,38,"3,420",38.0,50,1.32,167.0,117.0,72.5,15,9,14,15,39.5,5.0,4.0,1.0,0.0,20.0,1,556.0,1194.0,46.6,22391.0,19476.0,48.0,48.0,100.0,172.0,176.0,97.7,336.0,961.0,35.0
116,2020-2021,28,Burnley,eng ENG,1. Premier League,17th,32,32,"2,880",32.0,37,1.16,149.0,113.0,77.2,10,9,13,11,34.4,3.0,3.0,0.0,0.0,0.0,0,505.0,989.0,51.1,20828.0,18354.0,35.0,35.0,100.0,143.0,150.0,95.3,327.0,789.0,41.4
117,2021-2022,29,Burnley,eng ENG,1. Premier League,18th,36,36,"3,240",36.0,47,1.31,165.0,119.0,74.5,7,14,15,9,25.0,5.0,5.0,0.0,0.0,0.0,0,556.0,1088.0,51.1,24142.0,21499.0,35.0,40.0,87.5,129.0,135.0,95.6,392.0,901.0,43.5
118,2022-2023,30,Newcastle Utd,eng ENG,1. Premier League,4th,37,37,"3,261",36.2,32,0.88,118.0,85.0,74.6,19,13,5,14,37.8,5.0,2.0,2.0,1.0,50.0,0,614.0,890.0,69.0,17068.0,11723.0,121.0,122.0,99.2,275.0,283.0,97.2,212.0,478.0,44.4
119,2023-2024,31,Newcastle Utd,eng ENG,1. Premier League,10th,14,14,"1,255",13.9,14,1.0,53.0,39.0,73.6,8,2,4,5,35.7,0.0,0.0,0.0,0.0,0.0,0,289.0,367.0,78.7,7287.0,4347.0,55.0,56.0,98.2,162.0,165.0,98.2,71.0,144.0,49.3
120,2010-2011,20,Kaiserslautern,de GER,1. Bundesliga,7th,9,9,810,9.0,9,1.0,39.0,30.0,76.9,7,0,2,3,33.3,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2011-2012,21,Kaiserslautern,de GER,1. Bundesliga,18th,23,23,"2,070",23.0,32,1.39,117.0,85.0,72.6,3,9,11,2,8.7,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2012-2013,22,Eint Frankfurt,de GER,1. Bundesliga,6th,26,26,"2,340",26.0,37,1.42,134.0,97.0,72.4,11,6,9,6,23.1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2013-2014,23,Eint Frankfurt,de GER,1. Bundesliga,13th,34,34,"3,046",33.8,57,1.68,188.0,131.0,69.7,9,9,16,9,26.5,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2014-2015,24,Eint Frankfurt,de GER,1. Bundesliga,9th,22,22,"1,979",22.0,35,1.59,122.0,87.0,71.3,6,7,8,4,18.2,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2015-2016,25,Paris S-G,fr FRA,1. Ligue 1,1st,35,35,"3,105",34.5,19,0.55,101.0,82.0,81.2,27,6,2,18,51.4,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2016-2017,26,Paris S-G,fr FRA,1. Ligue 1,2nd,24,24,"2,123",23.6,13,0.55,55.0,42.0,78.2,18,4,2,15,62.5,2.0,1.0,1.0,0.0,50.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2017-2018,27,Paris S-G,fr FRA,1. Ligue 1,1st,4,4,360,4.0,4,1.0,17.0,13.0,88.2,3,0,1,1,25.0,2.0,2.0,0.0,0.0,0.0,1,85.0,92.0,92.4,1808.0,1270.0,19.0,19.0,100.0,57.0,58.0,98.3,8.0,13.0,61.5
128,2018-2019,28,Eint Frankfurt,de GER,1. Bundesliga,7th,33,33,"2,938",32.6,48,1.47,158.0,111.0,70.3,14,9,10,8,24.2,1.0,1.0,0.0,0.0,0.0,0,802.0,1213.0,66.1,28217.0,24350.0,115.0,115.0,100.0,263.0,267.0,98.5,421.0,818.0,51.5
129,2019-2020,29,Eint Frankfurt,de GER,1. Bundesliga,9th,22,22,"1,980",22.0,38,1.73,105.0,69.0,64.8,11,3,8,4,18.2,1.0,1.0,0.0,0.0,0.0,0,703.0,939.0,74.9,19494.0,14515.0,159.0,160.0,99.4,311.0,317.0,98.1,230.0,457.0,50.3
130,2020-2021,30,Eint Frankfurt,de GER,1. Bundesliga,5th,33,33,"2,970",33.0,52,1.58,150.0,99.0,68.0,15,12,6,4,12.1,6.0,4.0,1.0,1.0,20.0,0,953.0,1359.0,70.1,26873.0,20832.0,185.0,186.0,99.5,459.0,466.0,98.5,305.0,697.0,43.8
131,2021-2022,31,Eint Frankfurt,de GER,1. Bundesliga,11th,32,32,"2,880",32.0,46,1.44,157.0,112.0,73.2,10,11,11,5,15.6,4.0,4.0,0.0,0.0,0.0,0,823.0,1257.0,65.5,22069.0,16348.0,198.0,199.0,99.5,370.0,381.0,97.1,249.0,665.0,37.4
132,2022-2023,32,Eint Frankfurt,de GER,1. Bundesliga,7th,33,33,"2,970",33.0,51,1.55,130.0,80.0,62.3,13,10,10,6,18.2,2.0,2.0,0.0,0.0,0.0,0,616.0,888.0,69.4,15447.0,10068.0,133.0,134.0,99.3,327.0,332.0,98.5,151.0,412.0,36.7
133,2023-2024,33,Eint Frankfurt,de GER,1. Bundesliga,6th,16,16,"1,440",16.0,19,1.19,67.0,46.0,76.1,6,6,4,5,31.3,5.0,3.0,2.0,0.0,40.0,0,456.0,606.0,75.2,10600.0,6928.0,134.0,134.0,100.0,218.0,221.0,98.6,103.0,246.0,41.9
134,2011-2012,18,União de Leiria,pt POR,1. Primeira Liga,16th,16,16,"1,439",16.0,29,1.81,86.0,57.0,66.3,1,4,10,4,25.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2012-2013,19,Rio Ave,pt POR,1. Primeira Liga,6th,28,28,"2,501",27.8,40,1.44,102.0,62.0,60.8,11,6,11,6,21.4,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2013-2014,20,Benfica,pt POR,1. Primeira Liga,1st,16,15,"1,351",15.0,5,0.33,48.0,43.0,89.6,14,1,0,11,73.3,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2014-2015,21,Atlético Madrid,es ESP,1. La Liga,3rd,11,11,990,11.0,6,0.55,24.0,18.0,75.0,6,4,1,7,63.6,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2015-2016,22,Atlético Madrid,es ESP,1. La Liga,3rd,38,38,"3,420",38.0,18,0.47,99.0,82.0,82.8,28,4,6,24,63.2,1.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2016-2017,23,Atlético Madrid,es ESP,1. La Liga,3rd,30,30,"2,651",29.5,21,0.71,81.0,63.0,77.8,17,7,6,15,50.0,4.0,3.0,1.0,0.0,25.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,2017-2018,24,Atlético Madrid,es ESP,1. La Liga,2nd,37,37,"3,330",37.0,22,0.59,126.0,102.0,83.3,22,10,5,22,59.5,4.0,1.0,3.0,0.0,75.0,2,505.0,911.0,55.4,17911.0,14751.0,49.0,49.0,100.0,186.0,190.0,97.9,270.0,668.0,40.4
141,2018-2019,25,Atlético Madrid,es ESP,1. La Liga,2nd,37,37,"3,330",37.0,27,0.73,129.0,104.0,82.9,22,9,6,20,54.1,5.0,5.0,0.0,0.0,0.0,1,476.0,864.0,55.1,17872.0,15366.0,55.0,56.0,98.2,163.0,168.0,97.0,258.0,637.0,40.5
142,2019-2020,26,Atlético Madrid,es ESP,1. La Liga,3rd,38,38,"3,395",37.7,27,0.72,111.0,87.0,78.4,18,16,4,17,44.7,4.0,3.0,0.0,1.0,0.0,0,572.0,956.0,59.8,20137.0,17005.0,82.0,83.0,98.8,180.0,182.0,98.9,304.0,679.0,44.8
143,2020-2021,27,Atlético Madrid,es ESP,1. La Liga,1st,38,38,"3,420",38.0,25,0.66,122.0,98.0,80.3,26,8,4,18,47.4,4.0,1.0,2.0,1.0,66.7,3,642.0,1005.0,63.9,20935.0,15888.0,87.0,87.0,100.0,230.0,233.0,98.7,322.0,679.0,47.4
144,2021-2022,28,Atlético Madrid,es ESP,1. La Liga,3rd,38,38,"3,420",38.0,43,1.13,106.0,65.0,66.0,21,8,9,12,31.6,8.0,7.0,1.0,0.0,12.5,0,640.0,1094.0,58.5,19827.0,14832.0,92.0,93.0,98.9,256.0,258.0,99.2,286.0,736.0,38.9
145,2022-2023,29,Atlético Madrid,es ESP,1. La Liga,3rd,28,28,"2,492",27.7,20,0.72,79.0,59.0,75.9,17,5,6,11,39.3,2.0,1.0,0.0,1.0,0.0,0,538.0,817.0,65.9,15674.0,11619.0,99.0,99.0,100.0,239.0,243.0,98.4,197.0,469.0,42.0
146,2023-2024,30,Atlético Madrid,es ESP,1. La Liga,5th,19,19,"1,710",19.0,23,1.21,80.0,57.0,72.5,12,2,5,6,31.6,2.0,1.0,0.0,1.0,0.0,0,399.0,530.0,75.3,10409.0,7575.0,78.0,78.0,100.0,208.0,209.0,99.5,113.0,242.0,46.7
147,2004-2005,20,Udinese,it ITA,1. Serie A,4th,3,2,243,2.7,2,0.74,10.0,8.0,80.0,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,2005-2006,21,Lazio,it ITA,1. Serie A,16th,1,1,90,1.0,0,0.0,0.0,0.0,0.0,1,0,0,1,100.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,2005-2006,21,Treviso,it ITA,1. Serie A,19th,3,3,264,2.9,6,2.05,0.0,0.0,0.0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
