movie,scores,links,categories,image sources
,,,Popular In Theaters,
,,,RT25 Screening Series at AMC Theatres,
,,,Latest Certified Fresh Movies,
,,,Best Horror Movies of 2023,
,,,,https://resizing.flixster.com/TvGRKwWq_NYotXDGVKv6zjk21Hc=/206x305/v2/https://resizing.flixster.com/ZjeUhoKsG1fO11Vr8m05sTia4fE=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzEyYTA4ZWUwLTQwMDAtNGJhZi05MGJkLThjOGYwMGZlZTViNS5qcGc=
,,,,https://resizing.flixster.com/iI5mSBfuUPS6lCU27WKCbPfwHd4=/206x305/v2/https://resizing.flixster.com/YA79LGTeRyWJWc8CHUcSX5Yc19M=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzljZGQ5NjVkLWJkNmEtNDJlYy1hNDQyLWM2ZWQwMzRiZGVhZC5wbmc=
,,,,https://resizing.flixster.com/jlovx638auCHNJHVRopW2zAX2K4=/206x305/v2/https://flxt.tmsimg.com/assets/p24153543_b_v8_ac.jpg
,,,,https://resizing.flixster.com/1qtAIh6GPi4gkbIqMiAmX_fH-_o=/206x305/v2/https://resizing.flixster.com/86xMc82Pe9yBBtoceJ-vN3uYjSU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZWFzb24vNzI3ZDY3Y2UtMWY2NC00M2M2LWE5MDItM2I3MGRjZDkwYzkyLmpwZw==
,,,,https://resizing.flixster.com/Yi4qopFiZLpnpjbQ6_r_ntaV2z8=/206x305/v2/https://resizing.flixster.com/BAiop_VF0lafqPbhco156WWbGlI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQwZjljMGJkLWE3OTktNDUxNi1iYWNjLTcyZDA2ZGU3MzhiMi5qcGc=
,,,,https://resizing.flixster.com/iI5mSBfuUPS6lCU27WKCbPfwHd4=/206x305/v2/https://resizing.flixster.com/YA79LGTeRyWJWc8CHUcSX5Yc19M=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzljZGQ5NjVkLWJkNmEtNDJlYy1hNDQyLWM2ZWQwMzRiZGVhZC5wbmc=
,,,,https://resizing.flixster.com/LtGq5CNx1QQr1AeZT1qqN-Zzo-g=/206x305/v2/https://flxt.tmsimg.com/assets/p189253_v_v8_aa.jpg
,,,,https://resizing.flixster.com/kQi4LRam9ASsa3t6qNOibz5jqZk=/206x305/v2/https://resizing.flixster.com/R6h_lF1kc_Zgf2OVHyW1B2qobIc=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2RmZjJmYmEzLTMyYmMtNDgzMC1iZjUyLTFjNGE3OGY0ZGNmOS5wbmc=
,,,,https://resizing.flixster.com/AQ9y8BsmwTf6oshdXLkM_weVx08=/206x305/v2/https://resizing.flixster.com/fs73w6Ygt0Fl7q4PMqAUgcImw9U=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2ZlNDhhMDFjLTZkMmYtNDQxNC1hYjYyLTliNTZiYmRmZjEyOC5qcGc=
,,,,https://resizing.flixster.com/Yi4qopFiZLpnpjbQ6_r_ntaV2z8=/206x305/v2/https://resizing.flixster.com/BAiop_VF0lafqPbhco156WWbGlI=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzLzQwZjljMGJkLWE3OTktNDUxNi1iYWNjLTcyZDA2ZGU3MzhiMi5qcGc=
,,,,https://resizing.flixster.com/B6Wcp8lPtFsIdNrmNspmw5mOO-4=/206x305/v2/https://resizing.flixster.com/-YlXxxCDoN2pLf9DJlJO3PxovlQ=/ems.cHJkLWVtcy1hc3NldHMvbW92aWVzL2YxYzliMWY4LTAxNTAtNGY2YS1hOTk5LTE3NDg3NjZjYmY2OC5qcGc=
